"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s1","Easy",0,"A","A","combined","err_rate",0.030061996412296,0.975,0.0311027352510609,0.95
"s1","Easy",0,"A","A","combined","inc_rate",0.143310363627667,0.95,0.101669833972346,0.95
"s1","Easy",0,"A","A","cset","err_rate",0.030061996412296,0.875,0.0193098284312803,0.95
"s1","Easy",0,"A","A","cset","inc_rate",0.143310363627667,0.93,0.0890022993427613,0.95
"s1","Easy",0,"A","A","examiner","err_rate",0.030061996412296,0.89,0.0201524886216951,0.95
"s1","Easy",0,"A","A","examiner","inc_rate",0.143310363627667,0.615,0.0425943179039536,0.95
"s1","Easy",0,"A","A","row","err_rate",0.030061996412296,0.695,0.013194008972961,0.95
"s1","Easy",0,"A","A","row","inc_rate",0.143310363627667,0.375,0.0247704054389251,0.95
"s2","Easy",0,"B","B","combined","err_rate",0.0454874827134074,0.965,0.0410280769420958,0.95
"s2","Easy",0,"B","B","combined","inc_rate",0.180712673687223,0.935,0.118275143607728,0.95
"s2","Easy",0,"B","B","cset","err_rate",0.0454874827134074,0.845,0.0254744662373963,0.95
"s2","Easy",0,"B","B","cset","inc_rate",0.180712673687223,0.925,0.104621586506936,0.95
"s2","Easy",0,"B","B","examiner","err_rate",0.0454874827134074,0.86,0.0273656618909032,0.95
"s2","Easy",0,"B","B","examiner","inc_rate",0.180712673687223,0.63,0.0464896119755459,0.95
"s2","Easy",0,"B","B","row","err_rate",0.0454874827134074,0.655,0.0165369862695359,0.95
"s2","Easy",0,"B","B","row","inc_rate",0.180712673687223,0.4,0.0274237269822172,0.95
"s3","Easy",0,"C","C","combined","err_rate",0.0702220090318149,0.97,0.0533862766779924,0.95
"s3","Easy",0,"C","C","combined","inc_rate",0.223337841835986,0.94,0.132534397497293,0.95
"s3","Easy",0,"C","C","cset","err_rate",0.0702220090318149,0.795,0.0320415661944411,0.95
