"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s1","Easy",0,"A","A","cset","err_rate",0.03048407943541,0.825,0.0193203553171485,0.95
"s1","Easy",0,"A","A","cset","inc_rate",0.143234747940118,0.91,0.0882014420236455,0.95
"s1","Easy",0,"A","A","examiner","err_rate",0.0307648350927428,0.88,0.0201873628149057,0.95
"s1","Easy",0,"A","A","examiner","inc_rate",0.143481586557315,0.605,0.0424971765257132,0.95
"s1","Easy",0,"A","A","row","err_rate",0.0304570453095584,0.66,0.0132167186191771,0.95
"s1","Easy",0,"A","A","row","inc_rate",0.141644210309029,0.405,0.0247193619788233,0.95
"s2","Easy",0,"B","B","cset","err_rate",0.0458434498085606,0.84,0.0254855459512434,0.95
"s2","Easy",0,"B","B","cset","inc_rate",0.182258018958497,0.905,0.104026445700253,0.95
"s2","Easy",0,"B","B","examiner","err_rate",0.0457062775151136,0.86,0.027333578165536,0.95
"s2","Easy",0,"B","B","examiner","inc_rate",0.182551293653013,0.61,0.0464473902242405,0.95
"s2","Easy",0,"B","B","row","err_rate",0.045689017971065,0.645,0.0164414934856454,0.95
"s2","Easy",0,"B","B","row","inc_rate",0.181277890622051,0.38,0.0274950046830927,0.95
"s3","Easy",0,"C","C","cset","err_rate",0.0696601809226791,0.775,0.0319044168138457,0.95
"s3","Easy",0,"C","C","cset","inc_rate",0.222686082558267,0.905,0.118778511035652,0.95
"s3","Easy",0,"C","C","examiner","err_rate",0.0690548639535538,0.875,0.0374694774952451,0.95
"s3","Easy",0,"C","C","examiner","inc_rate",0.224280314347961,0.555,0.0488347466959045,0.95
"s3","Easy",0,"C","C","row","err_rate",0.069039203216002,0.645,0.0207164199036563,0.95
"s3","Easy",0,"C","C","row","inc_rate",0.22291587845928,0.41,0.0295722669171156,0.95
"s4","Easy",0,"C","D","cset","err_rate",0.0724204292873938,0.845,0.0319554354425611,0.95
"s4","Easy",0,"C","D","cset","inc_rate",0.241731708904193,0.935,0.123924400057573,0.95
"s4","Easy",0,"C","D","examiner","err_rate",0.0720981823238313,0.9,0.0388584902862382,0.95
"s4","Easy",0,"C","D","examiner","inc_rate",0.24097456301067,0.555,0.0494008544945784,0.95
"s4","Easy",0,"C","D","row","err_rate",0.0722297395691777,0.64,0.0211777068790039,0.95
"s4","Easy",0,"C","D","row","inc_rate",0.238529361683958,0.385,0.0304522484056067,0.95
"s5","Easy",0.2,"A","A","cset","err_rate",0.0298781890501726,0.81,0.0192000384370841,0.95
"s5","Easy",0.2,"A","A","cset","inc_rate",0.14887909070279,0.925,0.090668358493882,0.95
"s5","Easy",0.2,"A","A","examiner","err_rate",0.0301168444833514,0.83,0.020197948535747,0.95
"s5","Easy",0.2,"A","A","examiner","inc_rate",0.149484271983373,0.625,0.0430886631379987,0.95
"s5","Easy",0.2,"A","A","row","err_rate",0.0299527162021958,0.66,0.0132367270016232,0.95
"s5","Easy",0.2,"A","A","row","inc_rate",0.148877636958836,0.39,0.0252812177143564,0.95
"s6","Easy",0.2,"B","B","cset","err_rate",0.0446295559337019,0.84,0.0250138005618135,0.95
"s6","Easy",0.2,"B","B","cset","inc_rate",0.18841582524761,0.915,0.106232207757264,0.95
"s6","Easy",0.2,"B","B","examiner","err_rate",0.0447476251599848,0.865,0.0264166259492816,0.95
"s6","Easy",0.2,"B","B","examiner","inc_rate",0.187826166150117,0.59,0.0467830687449945,0.95
"s6","Easy",0.2,"B","B","row","err_rate",0.0449064036645599,0.68,0.0163271159802231,0.95
"s6","Easy",0.2,"B","B","row","inc_rate",0.189265479043231,0.38,0.0278765052852457,0.95
"s7","Easy",0.2,"C","C","cset","err_rate",0.0681299894156711,0.84,0.0314613968206631,0.95
"s7","Easy",0.2,"C","C","cset","inc_rate",0.229351103544601,0.925,0.119925621234756,0.95
"s7","Easy",0.2,"C","C","examiner","err_rate",0.0684840979575838,0.905,0.0370634735178119,0.95
"s7","Easy",0.2,"C","C","examiner","inc_rate",0.230213181861942,0.56,0.0489229275702955,0.95
"s7","Easy",0.2,"C","C","row","err_rate",0.0685587297658581,0.655,0.0205311043144391,0.95
"s7","Easy",0.2,"C","C","row","inc_rate",0.230155455510199,0.4,0.0299846173068178,0.95
"s8","Easy",0.2,"C","D","cset","err_rate",0.0708594919010293,0.79,0.0318472257423732,0.95
